step,loss
01511,5.8522
01512,5.8499
01513,5.8534
01514,5.8677
01515,5.8557
01516,5.8601
01517,5.8633
01518,5.8642
01519,5.8585
01520,5.8480
01521,5.8632
01522,5.8598
01523,5.8530
01524,5.8636
01525,5.8608
01526,5.8668
01527,5.8633
01528,5.8558
01529,5.8530
01530,5.8638
01531,5.8573
01532,5.8587
01533,5.8592
01534,5.8585
01535,5.8726
01536,5.8644
01537,5.8737
01538,5.8600
01539,5.8684
01540,5.8665
01541,5.8665
01542,5.8536
01543,5.8446
01544,5.8612
01545,5.8521
01546,5.8604
01547,5.8765
01548,5.8861
01549,5.8782
01550,5.8604
01551,5.8578
01552,5.8523
01553,5.8527
01554,5.8586
01555,5.8606
01556,5.8622
01557,5.8596
01558,5.8501
01559,5.8468
01560,5.8583
01561,5.8509
01562,5.8638
01563,5.8520
01564,5.8483
01565,5.8489
01566,5.8718
01567,5.8600
01568,5.8851
01569,5.8617
01570,5.8629
01571,5.8575
01572,5.8502
01573,5.8621
01574,5.8557
01575,5.8672
01576,5.8653
01577,5.8551
01578,5.8617
01579,5.8630
01580,5.8597
01581,5.8696
01582,5.8725
01583,5.8655
01584,5.8607
01585,5.8564
01586,5.8603
01587,5.8580
01588,5.8682
01589,5.8488
01590,5.8536
01591,5.8570
01592,5.8518
01593,5.8618
01594,5.8675
01595,5.8655
01596,5.8629
01597,5.8590
01598,5.8470
01599,5.8578
01600,5.8611
01601,5.8631
01602,5.8557
01603,5.8563
01604,5.8531
01605,5.8615
01606,5.8549
01607,5.8601
01608,5.8603
01609,5.8678
01610,5.8721
01611,5.8472
01612,5.8566
01613,5.8655
01614,5.8621
01615,5.8550
01616,5.8549
01617,5.8547
01618,5.8498
01619,5.8644
01620,5.8547
01621,5.8544
01622,5.8556
01623,5.8509
01624,5.8578
01625,5.8610
01626,5.8632
01627,5.8522
01628,5.8456
01629,5.8460
01630,5.8536
01631,5.8583
01632,5.8622
01633,5.8625
01634,5.8596
01635,5.8564
01636,5.8612
01637,5.8615
01638,5.8598
01639,5.8627
01640,5.8481
01641,5.8499
01642,5.8525
01643,5.8629
01644,5.8594
01645,5.8621
01646,5.8594
01647,5.8615
01648,5.8611
01649,5.8657
01650,5.8632
01651,5.8461
01652,5.8502
01653,5.8571
01654,5.8736
01655,5.8653
01656,5.8605
01657,5.8570
01658,5.8537
